,Latitude,Longitude,IncidentsTotal,SeverityScore,LATITUDE,LONGITUDE,COUNT
361,43.75,-79.43,17,0.0105,43.75,-79.43,17
362,43.75,-79.42,5,0.008,43.75,-79.42,5
363,43.75,-79.41,640,0.013500000000000002,43.75,-79.41,6
364,43.75,-79.4,536,0.0038333333333333344,43.75,-79.4,7
365,43.75,-79.38,26,0.0235,43.75,-79.38,2
366,43.75,-79.36,55,0.023250000000000003,43.75,-79.36,2
367,43.75,-79.35,6,0.005,43.75,-79.35,6
368,43.75,-79.34,26,0.017333333333333333,43.75,-79.34,7
369,43.75,-79.33,198,0.007090909090909091,43.75,-79.33,2
370,43.75,-79.31,129,0.03442857142857143,43.75,-79.31,18
371,43.75,-79.3,12,0.0115,43.75,-79.3,8
372,43.75,-79.29,81,0.07625000000000001,43.75,-79.29,5
373,43.75,-79.28,3,0.004,43.75,-79.28,3
374,43.75,-79.27,77,0.010142857142857144,43.75,-79.27,2
375,43.75,-79.26,71,0.023428571428571434,43.75,-79.26,11
376,43.75,-79.25,18,0.04766666666666667,43.75,-79.25,9
377,43.75,-79.24,58,0.020499999999999997,43.75,-79.24,17
378,43.75,-79.23,3,0.049,43.75,-79.23,6
379,43.75,-79.21,6,0.053,43.75,-79.21,3
380,43.75,-79.19,39,0.029,43.75,-79.19,4
381,43.76,-79.59,18,0.0115,43.76,-79.59,1
382,43.76,-79.57,23,0.013666666666666667,43.76,-79.57,8
383,43.76,-79.56,57,0.017166666666666667,43.76,-79.56,2
384,43.76,-79.55,38,0.03383333333333334,43.76,-79.55,3
385,43.76,-79.54,43,0.016,43.76,-79.54,2
386,43.76,-79.52,83,0.237,43.76,-79.52,6
387,43.76,-79.5,6,0.009000000000000001,43.76,-79.5,4
388,43.76,-79.49,91,0.016999999999999998,43.76,-79.49,18
389,43.76,-79.48,160,0.04744444444444445,43.76,-79.48,5
390,43.76,-79.47,35,0.018000000000000002,43.76,-79.47,2
391,43.76,-79.46,335,0.03955555555555555,43.76,-79.46,14
392,43.76,-79.44,20,0.049499999999999995,43.76,-79.44,3
393,43.76,-79.41,112,0.014444444444444447,43.76,-79.41,20
394,43.76,-79.4,59,0.05333333333333334,43.76,-79.4,6
395,43.76,-79.39,173,0.008499999999999999,43.76,-79.39,1
396,43.76,-79.38,1378,0.009055555555555558,43.76,-79.38,15
397,43.76,-79.37,984,0.009454545454545453,43.76,-79.37,2
398,43.76,-79.36,5720,0.02707142857142858,43.76,-79.36,6
399,43.76,-79.35,356,0.0042,43.76,-79.35,2
400,43.76,-79.34,278,0.004642857142857143,43.76,-79.34,7
401,43.76,-79.33,940,0.014550000000000002,43.76,-79.33,1
402,43.76,-79.32,185,0.004461538461538463,43.76,-79.32,5
403,43.76,-79.31,264,0.005153846153846154,43.76,-79.31,8
404,43.76,-79.3,182,0.009999999999999998,43.76,-79.3,10
405,43.76,-79.29,22,0.0115,43.76,-79.29,6
406,43.76,-79.28,163,0.014444444444444446,43.76,-79.28,20
407,43.76,-79.27,138,0.055,43.76,-79.27,8
408,43.76,-79.26,3,0.007,43.76,-79.26,1
409,43.76,-79.24,3,0.004,43.76,-79.24,2
410,43.76,-79.22,6,0.0045000000000000005,43.76,-79.22,8
411,43.76,-79.19,21,0.010666666666666666,43.76,-79.19,8
412,43.76,-79.18,28,0.01,43.76,-79.18,21
413,43.76,-79.17,9,0.0415,43.76,-79.17,3
414,43.77,-79.54,51,0.013999999999999999,43.77,-79.54,4
415,43.77,-79.53,126,0.0166,43.77,-79.53,3
416,43.77,-79.52,35,0.015857142857142858,43.77,-79.52,11
417,43.77,-79.51,4,0.005,43.77,-79.51,2
418,43.77,-79.5,6,0.005,43.77,-79.5,4
419,43.77,-79.49,812,0.11933333333333335,43.77,-79.49,1
420,43.77,-79.46,316,0.052714285714285714,43.77,-79.46,5
421,43.77,-79.44,36,0.0154,43.77,-79.44,11
422,43.77,-79.43,97,0.11466666666666668,43.77,-79.43,5
423,43.77,-79.42,45,0.03275,43.77,-79.42,6
424,43.77,-79.41,12,0.008,43.77,-79.41,19
425,43.77,-79.39,3,0.005,43.77,-79.39,2
426,43.77,-79.38,7,0.0055,43.77,-79.38,4
427,43.77,-79.37,4,0.007,43.77,-79.37,5
428,43.77,-79.36,19,0.01575,43.77,-79.36,3
429,43.77,-79.35,16,0.0215,43.77,-79.35,5
