,LATITUDE,LONGITUDE,PEDTYPE,PEDACT,PEDCOND,TRAFFCTL,LIGHT,VISIBILITY,RDSFCOND,TIME
265,43.648,-79.507,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Other,Stop Sign,Daylight,Clear,Dry,1155.0
266,43.648,-79.485,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Daylight,Clear,Dry,755.0
267,43.648,-79.475,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Stop Sign,"Daylight, artificial",Clear,Dry,907.0
268,43.648,-79.457,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,Traffic Signal,Dark,Rain,Wet,1504.75
269,43.648,-79.397,Pedestrian hit at mid-block,Other,Unknown,No Control,"Dark, artificial",Clear,Dry,340.0
270,43.648,-79.396,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,Traffic Signal,"Dark, artificial",Clear,Slush,218.66666666666666
271,43.648,-79.395,Pedestrian hit at mid-block,Crossing without right of way,"Ability Impaired, Alcohol",No Control,Dark,Clear,Dry,1952.0
272,43.648,-79.386,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Other,Traffic Signal,"Dark, artificial",Clear,Dry,2238.0
273,43.648,-79.385,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive,No Control,Daylight,Clear,Dry,1032.0
274,43.648,-79.385,Pedestrian hit at mid-block,Playing or Working on Highway,Normal,No Control,Daylight,Clear,Dry,1032.0
275,43.648,-79.385,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Had Been Drinking,Traffic Signal,"Dark, artificial",Clear,Dry,1032.0
276,43.648,-79.385,Vehicle is reversing and hits pedestrian,Other,Normal,No Control,"Dark, artificial",Clear,Dry,1032.0
277,43.648,-79.385,Vehicle turns left while ped crosses without ROW at inter.,Crossing without right of way,Inattentive,Traffic Signal,Daylight,Clear,Dry,1032.0
278,43.648,-79.381,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,No Control,Daylight,Clear,Dry,1500.0
279,43.648,-79.38,Pedestrian hit on sidewalk or shoulder,Other,Inattentive,Traffic Signal,"Dark, artificial",Clear,Dry,1278.3333333333333
280,43.648,-79.38,Pedestrian involved in a collision with transit vehicle anywhere along roadway,"Crossing, no Traffic Control",Unknown,No Control,Daylight,Clear,Dry,1278.3333333333333
281,43.648,-79.38,Pedestrian involved in a collision with transit vehicle anywhere along roadway,On Sidewalk or Shoulder,Unknown,Traffic Signal,"Dark, artificial",Clear,Dry,1278.3333333333333
282,43.648,-79.379,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,No Control,Daylight,Clear,Dry,1707.0
