,LATITUDE,LONGITUDE,COUNT
650,43.651,-79.368,1
651,43.651,-79.367,3
652,43.651,-79.362,3
653,43.651,-79.357,1
654,43.651,-79.349,1
655,43.651,-79.339,1
656,43.652,-79.485,1
657,43.652,-79.471,1
658,43.652,-79.469,1
659,43.652,-79.448,1
660,43.652,-79.437,1
661,43.652,-79.432,4
662,43.652,-79.431,1
663,43.652,-79.43,1
664,43.652,-79.429,2
665,43.652,-79.421,1
666,43.652,-79.411,1
667,43.652,-79.406,2
668,43.652,-79.405,4
669,43.652,-79.404,3
670,43.652,-79.401,2
671,43.652,-79.399,1
672,43.652,-79.398,1
673,43.652,-79.397,4
674,43.652,-79.396,1
675,43.652,-79.382,1
676,43.652,-79.379,1
677,43.652,-79.378,2
678,43.652,-79.376,1
679,43.652,-79.375,1
680,43.652,-79.372,3
681,43.652,-79.368,1
682,43.652,-79.367,1
683,43.652,-79.364,3
684,43.652,-79.363,4
685,43.653,-79.572,1
686,43.653,-79.563,1
687,43.653,-79.524,1
688,43.653,-79.514,2
689,43.653,-79.486,1
690,43.653,-79.466,1
691,43.653,-79.463,1
692,43.653,-79.451,2
693,43.653,-79.441,1
694,43.653,-79.432,1
695,43.653,-79.428,1
696,43.653,-79.426,1
697,43.653,-79.422,1
698,43.653,-79.397,1
699,43.653,-79.396,2
700,43.653,-79.393,2
701,43.653,-79.379,1
702,43.653,-79.378,1
703,43.653,-79.375,3
704,43.653,-79.373,3
705,43.653,-79.366,1
706,43.653,-79.363,1
707,43.653,-79.358,1
708,43.653,-79.349,1
709,43.653,-79.348,1
710,43.653,-79.341,2
711,43.653,-79.34,4
712,43.654,-79.565,1
713,43.654,-79.564,2
714,43.654,-79.551,1
715,43.654,-79.523,1
716,43.654,-79.48,1
717,43.654,-79.46,2
718,43.654,-79.459,1
719,43.654,-79.433,2
720,43.654,-79.422,3
721,43.654,-79.421,1
722,43.654,-79.42,3
723,43.654,-79.415,1
724,43.654,-79.406,3
725,43.654,-79.398,5
726,43.654,-79.391,1
727,43.654,-79.388,3
728,43.654,-79.386,1
729,43.654,-79.385,1
730,43.654,-79.383,1
731,43.654,-79.379,2
732,43.654,-79.378,2
733,43.654,-79.376,1
734,43.654,-79.373,2
735,43.654,-79.369,6
736,43.654,-79.368,1
737,43.654,-79.367,1
738,43.654,-79.366,1
739,43.654,-79.365,1
740,43.654,-79.363,2
741,43.654,-79.362,2
742,43.654,-79.36,1
743,43.654,-79.337,7
744,43.655,-79.598,2
745,43.655,-79.522,1
746,43.655,-79.514,1
747,43.655,-79.487,1
748,43.655,-79.457,1
749,43.655,-79.456,1
750,43.655,-79.452,3
751,43.655,-79.445,1
752,43.655,-79.433,3
753,43.655,-79.43,1
754,43.655,-79.418,1
755,43.655,-79.412,2
756,43.655,-79.411,2
757,43.655,-79.399,7
758,43.655,-79.398,2
759,43.655,-79.388,3
760,43.655,-79.386,2
761,43.655,-79.385,2
762,43.655,-79.383,3
763,43.655,-79.382,2
764,43.655,-79.379,3
765,43.655,-79.374,1
766,43.655,-79.373,1
767,43.655,-79.365,1
768,43.655,-79.362,1
769,43.655,-79.358,1
770,43.655,-79.357,1
771,43.655,-79.355,1
772,43.656,-79.565,1
773,43.656,-79.557,1
774,43.656,-79.521,1
775,43.656,-79.452,10
776,43.656,-79.433,1
777,43.656,-79.427,1
778,43.656,-79.423,2
779,43.656,-79.409,1
780,43.656,-79.408,2
781,43.656,-79.407,6
782,43.656,-79.406,2
783,43.656,-79.405,2
784,43.656,-79.402,1
785,43.656,-79.399,3
786,43.656,-79.394,1
787,43.656,-79.39,2
788,43.656,-79.388,3
789,43.656,-79.387,1
790,43.656,-79.382,3
791,43.656,-79.381,2
792,43.656,-79.38,2
793,43.656,-79.378,1
794,43.656,-79.377,2
795,43.656,-79.375,1
796,43.656,-79.374,2
797,43.656,-79.366,1
798,43.656,-79.364,3
799,43.656,-79.362,1
800,43.656,-79.361,1
801,43.656,-79.357,1
802,43.656,-79.353,1
803,43.656,-79.352,1
804,43.656,-79.351,1
805,43.656,-79.348,2
806,43.656,-79.347,1
807,43.656,-79.346,1
808,43.657,-79.568,1
809,43.657,-79.555,1
810,43.657,-79.542,1
811,43.657,-79.509,1
812,43.657,-79.479,1
813,43.657,-79.478,1
814,43.657,-79.452,1
815,43.657,-79.447,2
816,43.657,-79.445,1
817,43.657,-79.423,2
818,43.657,-79.422,1
819,43.657,-79.408,2
820,43.657,-79.405,1
821,43.657,-79.404,1
822,43.657,-79.403,1
823,43.657,-79.4,3
824,43.657,-79.399,1
825,43.657,-79.395,1
826,43.657,-79.389,3
827,43.657,-79.388,1
828,43.657,-79.381,3
829,43.657,-79.374,4
830,43.657,-79.373,3
831,43.657,-79.372,2
832,43.657,-79.37,1
833,43.657,-79.356,1
834,43.657,-79.355,1
835,43.657,-79.354,1
836,43.657,-79.353,1
837,43.657,-79.342,1
838,43.657,-79.341,1
839,43.657,-79.331,1
840,43.658,-79.517,1
841,43.658,-79.516,1
842,43.658,-79.488,1
843,43.658,-79.461,1
844,43.658,-79.453,3
845,43.658,-79.452,1
846,43.658,-79.443,2
847,43.658,-79.442,4
848,43.658,-79.441,1
849,43.658,-79.44,2
850,43.658,-79.439,1
851,43.658,-79.434,1
852,43.658,-79.424,1
853,43.658,-79.4,1
854,43.658,-79.399,1
855,43.658,-79.398,1
856,43.658,-79.395,1
857,43.658,-79.394,1
858,43.658,-79.393,1
859,43.658,-79.389,2
860,43.658,-79.386,2
861,43.658,-79.385,1
862,43.658,-79.384,2
863,43.658,-79.378,1
864,43.658,-79.377,3
865,43.658,-79.375,1
866,43.658,-79.372,2
867,43.658,-79.37,7
868,43.658,-79.359,1
869,43.658,-79.352,3
870,43.658,-79.351,1
871,43.658,-79.35,1
872,43.658,-79.349,4
873,43.658,-79.338,4
874,43.659,-79.594,1
875,43.659,-79.583,1
876,43.659,-79.543,1
877,43.659,-79.513,1
878,43.659,-79.51,1
879,43.659,-79.491,1
880,43.659,-79.484,1
881,43.659,-79.442,1
882,43.659,-79.438,1
883,43.659,-79.435,4
884,43.659,-79.434,1
885,43.659,-79.421,1
886,43.659,-79.419,1
887,43.659,-79.409,3
888,43.659,-79.4,1
889,43.659,-79.399,1
890,43.659,-79.398,1
891,43.659,-79.393,1
892,43.659,-79.39,4
893,43.659,-79.385,1
894,43.659,-79.382,4
895,43.659,-79.381,1
896,43.659,-79.375,2
897,43.659,-79.366,2
898,43.659,-79.365,2
899,43.659,-79.364,1
900,43.659,-79.357,1
901,43.659,-79.349,1
902,43.659,-79.348,1
903,43.659,-79.347,2
904,43.659,-79.346,2
905,43.659,-79.345,1
906,43.659,-79.328,2
907,43.66,-79.583,1
908,43.66,-79.517,1
909,43.66,-79.51,1
910,43.66,-79.479,1
911,43.66,-79.443,4
912,43.66,-79.435,1
913,43.66,-79.434,1
914,43.66,-79.432,2
915,43.66,-79.431,1
916,43.66,-79.43,1
917,43.66,-79.413,1
918,43.66,-79.397,1
919,43.66,-79.387,1
920,43.66,-79.385,3
921,43.66,-79.382,2
922,43.66,-79.378,1
923,43.66,-79.375,2
924,43.66,-79.374,1
925,43.66,-79.373,1
926,43.66,-79.37,1
927,43.66,-79.366,2
928,43.66,-79.362,1
929,43.66,-79.361,1
930,43.66,-79.354,1
931,43.66,-79.344,1
932,43.66,-79.342,1
933,43.66,-79.34,1
934,43.66,-79.339,1
935,43.66,-79.33,1
936,43.661,-79.543,2
